id,text,label,notes
55,"Lets say i play this bad boy, attack with everything i have, post combat main phase i play a land, then trigger its landfall. If i have a way to play multiple lands each turn could i just keep doing this over and over after each combat until ive hit my land play limit, or is there only 1 post combat main phase per turn? Or can i play multiple lands in post or pre combat and stack the combats phases i can get?",Rules,
56,If I have Miirym out and dragon tempest and then cast Astral. How much damage would be delt if I have 7 other dragons on tbe board? Do the 3/3s see themselves enter as a copy of Tempest and trigger off themselves?,Rules,
57,"Two Figure of Fables in play. Oko causes both Figure of Fables to gain all creature types over two turns. Figure of Fable [A] is activated to advance Figure of Fable [A] to Avatar and gain the Protection (from each of your opponents). Shouldn't I be able to now tap Gogo, Master of Mimicry to copy that triggered ability and apply it to Figure of Fable [B]?",Rules,
58,"[[Tamiyo, the Moon Sage]] has the emblem 'Whenever a card is put into your graveyard from anywhere, you may return it to your hand'. I understand that the Player MAY choose to let it hit the graveyard or hand first off. But is that decision decided during or after [[Final act]]?",Rules,
59,so i have a question that might be obvious but I am very new to magic and don't understand so the question is on his attack whenever he sacrifices monsters the way it is worded is where i am confused it says you may sacrifice any number of other creatures does that mean on the board in general or on my side of the board,Rules,
60,Spell Crumple redirected. Does it still counter the spell?,Rules,
61,"Question on this ability. Hulk, Gamma Goliath’s ability says to put those counters on Hulk. Can I put them on any Hulk or just Hulk, GG?",Rules,
62,Can Glasspool Mimic clone Clever Impersonator if the latter is a curse?,Rules,
63,Say I have a Goblin Artisans and I clone Goblin Artisans with Sakashima the Impostor. I proceed to cast an artifact spell and target the spell with both Goblin Artisans ability what exactly happens?,Rules,
64,Baron Helmut Zemo + Decorum Dissertation interaction: do I get a copy each turn after exiling with Baron?,Rules,
65,was playing in a 3 pod earlier and used a card that had delve that costed 6 colourless and 1 blue. does each card count its colorless cost or is it 1 colorless per card?,Rules,
66,”Can Bane of Progress’ counters be redirected with Deflecting Swat?”,Rules,
67,"”Shout out to my prerelease deck for going 4-1 and just generally over performing like crazy,  how did your guys Marvel prerelease go?”",Discussion,
68,”Hey! Tomorrow i will go to my first prerelease event for Marvel Super Heroes. What’s your tips and tricks for a beginner to get a decent place among 30ish players? Anything is appreciated..”,Discussion,
69,”What is everyone favourite marvel card that is cheap but super effective? Here are mine”,Discussion,
70,"”Am I Coping,  or Is There a Real Reason FF Card Prices Are Exploding Right Now?”",Discussion,
71,”what are people talking about with ‘going the way of turtles’? there was over 80 ppl here when we started and my LGS isn’t huge. almost all product sold.”,Discussion,
72,"”Any thoughts on Thanos tech? I’m curious what everyone thinks about building this. I know blink should absolutely be included,  but I can’t help but wonder whether to build this as a voltron deck or fill it with creatures and protections.”",Discussion,
73,"”Hawkeye,  Young Avenger is nuts with anything”",Discussion,
74,"”Proper LGSs,  not Target or GameStop or anything. Marvel Jumpstart boosters are $10 at one of them and $7 at another. Is this kind of disparity normal? I’ve never seen a difference that big before. Should I be worried the cheaper one will jack up their prices?”",Discussion,
75,"”Went to a marvel super heroes pre release event ,  was the very first one at my LGS . 4 people showed up including myself 🥲”",Discussion,
76,"”I’m thinking of making a new commander mutation deck using the Nethroi,  apex of death commander. I think I found the booster box that has mutation cards but otherwise I have no idea where else to get them,  does anyone know where else to get mutation cards? Also for anyone that plays mutation any advice or words of wisdom”",Discussion,
77,"”I just started playing,  and the pod i play with which is currently my brother and 2 friends are pretty competitive so the decks we have made have been ‘high power’ but are all still in the bracket 3 rules. Is this normal or would it be frowned on to play with others at LGS?”",Discussion,
78,"”Game changers don’t always mean that your deck is high powered. Technically my [[betor,  ancestors voice]] is a bracket 4 because it has a bunch of game changers,  but in really it is waaaaayyy too slow and vulnerable to a lot of things that make it work. Any graveyard hate or commander removal really messes up the game plan”",Discussion,
79,”hello all! was wondering what advice you would give and what you would include in a gift basket to someone brand new to MTG.”,Discussion,
80,”Which stone is better? Among my 16 decks I run the soul stone in 1 and plan on playing the mind stone in 3 decks. Might be biased here so I’m curious which one you think is better?”,Discussion,
81,”Have 3 friends going to a prerelease tonight that have never been to a prerelease before. I know the set isn’t for everyone but for some people it is getting them into the game. I’ve also seen Facebook posts from comic book fans that I know that are buying into the new set.”,Discussion,
82,”What are your favorite chaos cards? Mine personally is Patriarch’s Bidding”,Discussion,
83,”Cards that if they resolve its good and if they dont its a -1 counterspell or something like that”,Discussion,
84,”Outside of simply rolling dice what are some ways you have determined who goes first?”,Discussion,
85,”How strong would a 0 cost instant be that only reads ‘Do Nothing.’”,Discussion,
86,”Im trying to get back into magic after about 14yrs off. What land cards do I need to catch up on?”,Discussion,
87,"”Both Spiderman and Turtles had (reportedly) low attendances for prereleases,  and their physical sales were also quite poor. What is the impression of the community so far of reception of the Marvel Super Hero sets? Are Prereleases selling out? Are they better than Spiderman? This set seems to be the big ‘banner’ set of Universe beyond,  AND they’ve also managed to the IP on Arena,  so it’s quite important to see how it does.”",Discussion,
88,"”Why don’t we have The Basic Rule? Genuinely. We have The Legend Rule. If you control 2 or more Legendary permanents with the same name,  all but one get put into the graveyard as a SBA. So why not do something similar for Basic,  which is also a Supertype?”",Discussion,Boundary: Rules/Discussion — mentions a real game rule but the post is an opinion/design debate not a clarification request
89,"”Should I buy a booster box of Avatar,  Lorwyn eclipsed,  or secrets of strixhaven?”",Discussion,
90,”Lorwyn Eclipsed was a pathetic joke of a Lorwyn set. Strixhaven and Avatar have the most playable cards of the three if you aren’t building an elemental or goblin deck. Avatar has the most one-off mechanics and cards you are more likely to never see again. Strixhaven has the better spread of usable cards over Avatar and is more fun to draft if you feel like doing that as part of the opening.”,Discussion,
91,"”So red and green can just fly now? My understanding is that,  with the exception of dragons,  Green and red are simply not supposed to have easy access to flying. Green is already a color that has been slowly eating the reast of the color pie,  and this feels like yet another step in that direction. Does anyone else feel like this is a problematic element of this set,  or am I overreacting?”",Discussion,
92,”In your personal opinion what is a card that is so surprisingly good that it needs to be in every mono color?”,Discussion,
93,"”Okay lately I feel so much frustration with Magic the gathering or is it my lgs? I’ve been playing for about 9 months which isn’t that long. I’ve really gotten into magic around the final fantasy set,  (didn’t go to the premiere but afterwards). The prices at the game store just don’t make sense to me and I was curious. I’ve seen stores do it better,  though I feel like it’s a weird thing been going on.”",Discussion,
94,”Working in becoming a Magic Artist - What do you think? Portfolio [link]”,Discussion,
95,”Found this repack scam at my local Safeway. Was surprised!”,Discussion,
96,"”Restorative technique,  isn’t this kinda too powerful for common?”",Discussion,Boundary: Rules/Discussion — asks about power level which is opinion; not asking how the card works mechanically
97,"”Diabolical Tutor has always reminded me of Dexter Morgan,  thats all.”",Memes,Relabeled from Discussion — one-line card art joke with no discussion invited
98,”he looks like Ramsay Bolton from Game of thrones”,Memes,Relabeled from Discussion — one-line visual comparison with no discussion invited
99,”Hi folks! I just want to know your opinions about the Marvel Super Heroes and Spiderman Sets.”,Discussion,
100,”I bought precon of TMNT and I was disappointed and I think with marvel will be the same for me.”,Discussion,
101,"”My first experience with Magic didn’t go as expected. I’m a new player,  I’m not even into card games,  but old Magic art has drawn my attention,  and from there it was a short way to playing some Arena and getting my first precon...And this is when I got scammed.”",Discussion,
102,”Is reef worm worth bouncing or just ignore it for as long as possible?”,Discussion,
103,”I bought a large collection of cards a few months ago and there are several hundred unfinity cards included. Curious as to what other people have done with large amount of Unfinity cards and what other options there might be. Any tips or suggestions are encouraged!”,Discussion,
104,”What’s a card you really want reprinted with new art because you just don’t like the current version?”,Discussion,
105,”The simplicity of the lorwyn 5 is what made them good.”,Discussion,
106,”Would This Be A Color Pie Break? Or In Pie? 1G Instant Untap 3 Lands. Essentially it’s a ritual but disguised as land untapper. I just want to know what if it was blue?”,Discussion,Boundary: Rules/Discussion — asks about color pie which has a rules dimension but the post is speculative/opinion
107,"”Just looking for any cool website that can look at your deck and see what synergy and what doesn’t,  not saying i would rely this as deckbuilding but giving me more options to what I could add or replace would be nice”",Discussion,
108,”What’s the mechanic that you struggled to understand when you returned to play MTG?”,Discussion,
109,”What is fun about bracket 4-5 decks?”,Discussion,
110,"”Why would you ever run bounce cards when you can counter,  exile or destroy a permanent”",Discussion,
111,"”Are standard theme decks a thing again? Growing up we always had pre-made 60card theme decks and fat packs. I thought those went away some years ago. All I ever see on the shelves is the commander decks. Until today,  I saw these on the shelf. When did this start happening again?”",Discussion,
112,”Would there be any interest in a collection reveal? I have a large collection in binders of cards and they are in order per edition. I’m new to this and from what I can understand they are in order by the numbers on the bottom. There’s like 20 binders. I’m not sure what’s worth what and nothings for sale due to just not having interest in selling.”,Discussion,
113,”Has anybody else misinterpreted card art and wished they could go back?”,Discussion,
114,”What sub-optimal choices do you make for convenience?”,Discussion,
115,”Why do Plains look dirty?”,Discussion,
116,"”So,  I will be taking a trip to Germany in the first week of July and am considering taking a few decks. I’m hoping that I could possibly find some local shop in Dusseldorf for some commander play. I am still pretty new but figured if I am having this much fun when I can play randomly here,  why not try in Germany as well 😁 Has anyone done something like this,  (obviously doesn’t have to be Germany) and how was the experience?”",Discussion,
117,”So is Weiss Schwarz the end goal for magic?”,Discussion,
118,”Has anyone ever tried a variant where you take the lands out of your main deck and put them in a side deck?”,Discussion,
119,"”I must admit I love my error cards. A rather unique pairing of my two favourite Assassin’s Creed characters,  came back from the grading company with their name plates switched,  which makes them rather unique”",Discussion,
120,”I wish there was more downside keywords.”,Discussion,
121,”How Poison Counters Mechanic Should Have Been Built [Opinion]”,Discussion,
122,”Favourite old forgotten mythics?”,Discussion,
123,”Does Anyone enjoy playing against control decks?”,Discussion,
124,”Why does some people ragequit when i play the deep cavern bat in the second turn and not when i play pilfer?”,Discussion,
125,”What is your favourite anti-losing the game card?”,Discussion,
126,"”I started playing this year. It makes me sad that there are some cards I’ll just never get a chance at. Wizards should have a system where if you can prove you started playing recently for the first time,  you get a couple of old booster packs. Just one shot at one of the real groovy pulls would help so much.”",Discussion,
127,”What would be your ‘I don’t like UB but...’ set”,Discussion,
128,”Please review my deck!”,Discussion,
129,”Every spell is better when you copy it”,Discussion,
130,”Need help tooling Giada deck”,Discussion,
131,”What’s the best blue mythic card from the spiderman mtg set?”,Discussion,
132,”Archidekt vs Moxfield I’m curious what people are generally using for online deck builders!”,Discussion,
133,”How am I just now discovering this card????”,Discussion,
134,”Stop buying Secret Lair. Consistently we have been fooled and disappointed by the new system. It was supposed to be faster than print on demand but it ended up creating more disappointment.”,Discussion,
135,”[Image: Drake meme] No: Reading the card to explain the card. Yes: Just trusting your opponent when they say it works.”,Memes,
136,"”[Image: Distracted boyfriend] Boyfriend labeled 'Me',  girlfriend labeled 'My actual win condition',  other woman labeled 'Sol Ring on turn 1'.”",Memes,
137,”[Image: This is fine dog sitting in burning room] Me watching my opponent untap with Thassa's Oracle and Demonic Consultation in hand.”,Memes,
138,"”[Image: Expanding brain meme,  4 panels] Panel 1: Paying full price for fetch lands. Panel 2: Buying them on sale. Panel 3: Using proxies. Panel 4: Just not running them and suffering.”",Memes,
139,”[Image: Surprised Pikachu face] My opponent when I actually pay the 1 for Rhystic Study.”,Memes,
140,”[Image: Galaxy brain meme] Losing on purpose so your opponent wastes their Demonic Consultation.”,Memes,
141,"”[Image: Wojak crying behind a smiling mask] Me saying 'no worries,  good game' after my commander gets removed for the fourth time.”",Memes,
142,"”[Image: Two buttons meme,  sweating man] Button 1: Keep the one land hand. Button 2: Mulligan into a zero land hand.”",Memes,
143,"”[Image: Spider-Man pointing at himself meme,  two Spider-Men] Both labeled 'People who say their deck is casual' in an EDH pod.”",Memes,
144,”[Image: Mocking SpongeBob] 'Oh you run Rhystic Study? That's so original.'”,Memes,
145,"”[Image: Change my mind meme,  man at table with sign] Sign reads: Sol Ring should be banned in Commander.”",Memes,Boundary: Memes/Discussion — joke framing but invites real debate
146,”[Image: It's free real estate meme] Extra combat steps after you already swung for lethal.”,Memes,
147,"”[Image: Gigachad meme] The guy who brings a fully sleeved,  perfectly organized binder to every prerelease just to trade.”",Memes,
148,"”[Image: wojak doomer] My opponent has 7 cards in hand,  40 life,  and it's their turn. I have a 1/1 squirrel token.”",Memes,
149,”[Image: Monkey puppet side-eye meme] Someone at the table when the archenemy targets them instead of the blue player.”,Memes,
150,"”[Image: Person running away from explosions,  labeled 'Me'] Explosions labeled 'My entire board getting wiped for the third consecutive game'.”",Memes,
151,”[Image: Drake meme] No: Attacking with your creatures. Yes: Just drawing cards until you find the combo.”,Memes,
152,”[Image: Blinking white guy meme] Me when my opponent taps out on their turn and I'm holding a counterspell.”,Memes,
153,”[Image: Math is math meme from Incredibles] Calculating whether a 47-card deck with 3 Rhystic Studies counts as a real deck.”,Memes,
154,"”[Image: Gru's plan meme,  4 panels] Step 1: Play Cyclonic Rift. Step 2: Bounce everyone's board. Step 3: Win. Step 4: Get uninvited to game night.”",Memes,
155,”[Image: Stonks meme with stick figure at rising chart] My opponent's life total every time I tap Rhystic Study.”,Memes,
156,”[Image: Distracted boyfriend] Boyfriend: 'Me'. Girlfriend: 'Finishing my combo'. Other woman: 'Adding one more card to my already full hand'.”,Memes,
157,”[Image: Fine print meme with magnifying glass] Card text: 'Draw a card.' Fine print: 'Unless you're at 6 cards in hand already somehow'.”,Memes,
158,"”[Image: Always has been astronaut meme] Astronaut 1: 'Wait,  EDH is just Commander?' Astronaut 2 pointing gun: 'Always has been.'”",Memes,
159,"”[Image: Pacha meme,  man in hat giving thumbs up] When you finally find a deck that wins without going infinite.”",Memes,
160,"”[Image: Roll safe meme,  man tapping temple] You can't lose to land destruction if you never have lands.”",Memes,
161,”[Image: Cat at dinner table meme] Woman screaming labeled 'Judge'. Cat labeled 'Me trying to remember if I declared my trigger before untap'.”,Memes,
162,”[Image: Buff Doge vs Cheems meme] Buff Doge: 'Having a perfectly tuned cEDH deck'. Cheems: 'Me with my 100 card pile of cards I think are neat'.”,Memes,
163,"”[Image: Ight imma head out meme,  SpongeBob getting up] My playgroup after the blue player resolves their third Counterspell in two turns.”",Memes,
164,”[Image: Megamind 'Nobody came' meme] My overloaded Cyclonic Rift at 11pm when everyone else already scooped.”,Memes,
165,”[Image: Person holding sign that says 'free' outside a store] Me offering my extra basic lands at game night like it's a gift.”,Memes,
166,"”[Image: Expanding brain meme,  4 panels] Panel 1: Playing aggro. Panel 2: Playing midrange. Panel 3: Playing control. Panel 4: Playing a deck with no win condition just to see what happens.”",Memes,
167,”[Image: Smiling woman with burning house behind her] Me after topdecking the exact land I needed on turn 7.”,Memes,
168,”[Image: Two options meme with fire] Option A: Concede gracefully. Option B: Make everyone else miserable before you go out.”,Memes,
169,”[Image: Stonks meme but with 'not stonks' declining chart] My tournament record every time I sleeve up a new deck for the first time.”,Memes,
170,”[Image: Drake meme] No: Winning through combat damage. Yes: Milling yourself on purpose and hoping Thassa's Oracle is in the next 3 cards.”,Memes,
171,”[Image: Mocking SpongeBob] 'Oh you put your commander back in the command zone? Yeah I would have done that too.'”,Memes,
172,”[Image: Surprised Pikachu] The entire table when the 'janky fun deck' kills everyone on turn 4.”,Memes,
173,"”[Image: Galaxy brain meme,  increasingly glowing head] Top: 40 lands. Middle: 38 lands. Below: 36 lands. Bottom glowing: 34 lands and just vibing.”",Memes,Boundary: Memes/Discussion — deck building opinion wrapped in meme format
174,”[Image: Distracted boyfriend] Boyfriend: 'Me at the start of the game'. Girlfriend: 'My game plan'. Other woman: 'That one shiny alt-art card I keep staring at instead of playing'.”,Memes,
175,”[Image: It's free real estate meme] Scooping before anyone can see your graveyard.”,Memes,
176,”[Image: Mind blown gif still frame] Me finding out there's a whole other format called Vintage that I will never be able to afford.”,Memes,
177,”[Image: Wojak brain worms meme] Trying to explain why 'technically it's not a combo it's a synergy' to the rest of the pod.”,Memes,
178,"”[Image: Anakin and Padme meme,  4 panels] Anakin: 'So we all agreed no infinite combos right?' Padme: 'Right?' Anakin says nothing. Padme worried face.”",Memes,
179,”[Image: Person pointing at TV excitedly] Me every time a card has the words 'draw a card' anywhere on it.”,Memes,
180,"”[Image: Sweating towel meme] My hand: Sol Ring,  Arcane Signet,  3 mana rocks,  1 land,  Cultivate. Drawing for turn and getting another mana rock.”",Memes,
181,”[Image: Roll safe meme] You can't be the archenemy if you just never play anything threatening.”,Memes,
182,”[Image: Change my mind meme] Sign reads: There are only two types of EDH players — the ones who say they're casual and the ones who admit they're not.”,Memes,Boundary: Memes/Discussion — strong opinion invites real replies
183,"”[Image: Gru's plan meme,  4 panels] Step 1: Counterspell their counterspell. Step 2: Counter their counter-counterspell. Step 3: Everyone at the table is just watching. Step 4: Still watching.”",Memes,
184,”[Image: This is fine dog] Me shuffling my 100 card deck for the fifth time this turn because of Vampiric Tutor.”,Memes,
185,”[Image: Blinking white guy meme] Me when my opponent says 'I'll just put this trigger on the stack' and they've got four triggers already pending.”,Memes,
186,”[Image: Skeleton waiting meme] Me waiting for blue players to decide what they're countering and what they're letting through.”,Memes,
187,”[Image: Doomer wojak staring out window] Realizing the $80 staple I just bought will get reprinted next month.”,Memes,
188,"”[Image: Increasingly nervous meme,  man with collar getting tighter] Drawing my opening hand and slowly realizing I have 6 lands and a Sol Ring.”",Memes,
189,”[Image: Woman yelling at cat meme] Woman labeled 'Judge'. Cat labeled 'Me asking if I can still declare a blocker after seeing the damage assignment'.”,Memes,
190,”[Image: Buff vs Crying Wojak] Buff: 'cEDH players who know exactly what every card in every deck does'. Crying: 'Me who just put Reliquary Tower in because it looked cool'.”,Memes,
191,"”[Image: Person on phone meme,  fire in background labeled 'My mana base'] Me telling my opponent my deck is perfectly consistent.”",Memes,
192,”[Image: Surprised Pikachu] My opponent when I actually attack instead of holding up mana for instants.”,Memes,
193,”[Image: Mocking SpongeBob] 'Oh you're running 38 lands? That's so many lands.' Meanwhile me with 37 lands and 6 mana rocks.”,Memes,
194,”[Image: Roll safe meme] You can't get your board wiped if you never build a board.”,Memes,
195,”[Image: expanding brain meme] Panel 1: Buying singles. Panel 2: Cracking packs for fun. Panel 3: Buying a whole collection off Facebook marketplace. Panel 4: Just printing proxies and accepting your life.”,Memes,
196,”[Image: Two planets colliding meme] Planet 1 labeled 'Wanting to win'. Planet 2 labeled 'Wanting everyone to have fun'. Collision labeled 'EDH'.”,Memes,
197,”[Image: Distracted boyfriend] Boyfriend: 'My deck'. Girlfriend: 'The commander I built it around'. Other woman: 'A card I pulled that I want to find a reason to include'.”,Memes,
198,”[Image: Pacha thumbs up meme] When someone at your LGS lets you borrow lands for your prerelease deck.”,Memes,
199,”[Image: Wojak crying then smiling meme] Crying: 'I lost but I got to play Omniscience for one whole turn'. Smiling: same.”,Memes,
200,"”[Image: Megamind 'No one cares' meme,  man looking at empty theater] Me explaining why my janky 5-color lands deck is actually good to a completely disinterested playgroup.”",Memes,
